,0003000M_phase2_T,0003000M_phase2_R,0004000M_phase2_T,0004000M_phase2_R,0005000M_phase2_T,0005000M_phase2_R,0006000M_phase2_T,0006000M_phase2_R,0007000M_phase2_T,0007000M_phase2_R,0008000M_phase2_T,0008000M_phase2_R,0009000M_phase2_T,0009000M_phase2_R,0010000M_phase2_T,0010000M_phase2_R,0011000M_phase2_T,0011000M_phase2_R,0012000M_phase2_T,0012000M_phase2_R,0013000M_phase2_T,0013000M_phase2_R,0014000M_phase2_T,0014000M_phase2_R,0015000M_phase2_T,0015000M_phase2_R,0016000M_phase2_T,0016000M_phase2_R
55,-99,-99,-99.0,-99.0,-99.0,-99.0,4479.841904676371,4.996044343311279,4491.760692135465,5.837029631383086,4522.225317413673,6.321964375979351,4557.150980235633,6.677221791288637,4592.6195356872395,6.944971544040345,4631.324726290008,7.0758329792387125,4655.024373434255,7.3663229498980956,4688.490359222846,7.442542419911927,4728.51278545107,7.361631656950741,4749.236728940015,7.594601083081897,4769.250611902373,7.82424429686838
56,-99,-99,-99.0,-99.0,-99.0,-99.0,4471.477906594061,5.1643020251260285,4481.702321392908,6.036293817260759,4511.222951222397,6.534428297416402,4545.421610251229,6.899556941806492,4580.418545441963,7.1743014123881,4618.983252682841,7.307388832021628,4642.580285053039,7.601221660614844,4675.932942335242,7.676562822170742,4715.943553391932,7.591231117084947,4736.82721092377,7.826161466450469,4756.950306062213,8.054714927750267
57,-99,-99,-99.0,-99.0,-99.0,-99.0,4463.294256610489,5.337702254294068,4471.617415493377,6.241923711684512,4499.99157954442,6.7544451955762295,4533.351085267042,7.130187295670286,4568.073528844717,7.411645650045875,4606.115536819478,7.547990919984691,4629.90072881232,7.844382090856111,4663.320690221226,7.918215968145052,4703.262700146574,7.828472029868336,4724.2035104145225,8.065567960546492,4744.188352915431,8.293675179545046
58,-99,-99,-99.0,-99.0,-99.0,-99.0,4455.316021742495,5.515882264746387,4463.010798970506,6.447911023469071,4488.647445188797,6.98172066887053,4521.077978964755,7.368955607209487,4555.505512931645,7.657506769699545,4593.344915844183,7.796387039247919,4617.226932032581,8.095398035630792,4650.321103829641,8.168657641152425,4690.2643749036915,8.074093300936115,4711.07754549352,8.313844947224466,4731.631100995646,8.539603103396603
59,-99,-99,-99.0,-99.0,-99.0,-99.0,4450.133944374563,5.689087578784607,4474.110504600292,6.396477787143543,4478.554050256523,7.210390735079345,4509.167324124666,7.6145549713486975,4542.7908138233415,7.91194661418124,4580.370545415614,8.053564867422075,4604.152837671946,8.355666196886428,4637.454695420399,8.426810642948471,4677.275002452836,8.327546770866004,4698.210950380463,8.569192983767596,4718.892205148427,8.793726072743306
60,-99,-99,-99.0,-99.0,-99.0,-99.0,4443.8225025900765,5.854228456352988,4461.21050939406,6.623583130621619,4490.9506733888265,7.083670781127717,4497.2178673366725,7.867303088425943,4530.069721183071,8.174757718512614,4567.194760042862,8.319891296538989,4590.97899674606,8.624689783361763,4624.51841549205,8.69344139701892,4664.0882311449295,8.589683022909991,4685.114835941904,8.833214955053434,4705.958594407216,9.056292925983367
61,-99,-99,-99.0,-99.0,-99.0,-99.0,4448.672528853325,5.789549580144558,4450.145085422341,6.851621511745312,4486.985862192976,7.19768580487909,4494.970526365011,7.982250191708802,4517.2111901299995,8.446257892876273,4553.955822476608,8.595192764047619,4578.034039586267,8.901786838573479,4611.408740820969,8.969130963581117,4650.922192441107,8.860160437145023,4671.944224115923,9.10580055185164,4693.022500119415,9.326918786425624
62,-99,-99,-99.0,-99.0,-99.0,-99.0,4447.97178637246,5.853942822558732,4438.192068928508,7.091821651398831,4475.070438498211,7.441762385852633,4511.653368195278,7.713797102513666,4504.6965805985365,8.723296052705436,4540.887133416041,8.879051692568169,4564.733512438427,9.18894394072353,4597.90587297739,9.254860521024218,4637.746435324063,9.139369963941009,4658.876854240019,9.386671326796423,4679.943562812214,9.606421819182694
63,-99,-99,-99.0,-99.0,-99.0,-99.0,4437.539426390429,6.0567883429392175,4426.03087289331,7.341234278438643,4462.374471280356,7.6978142530164035,4509.524247799509,7.793394344080779,4512.684034248753,8.627447176316972,4527.544785934006,9.17256022876024,4551.29828264517,9.48564442055456,4584.567030782005,9.549213744877203,4624.47121332462,9.42780477641379,4645.196953196002,9.678002935033971,4666.854134537251,9.894618473386155
64,-99,-99,-99.0,-99.0,-99.0,-99.0,4426.748320979115,6.267680504816684,4413.62698053845,7.600278596124232,4449.489161386931,7.963455369008808,4496.74798719125,8.056488606541254,4528.509831260941,8.340975611629156,4514.640943966164,9.471019295965938,4537.729347285412,9.791733249812042,4571.000428490592,9.853703504746424,4610.758007671367,9.726795430989599,4631.966000294772,9.977372014949449,4653.473917065731,10.192810064510459
65,-99,-99,-99.0,-99.0,-99.0,-99.0,4415.80710969937,6.486388777206224,4400.965123369746,7.869363403325498,4436.4282316697845,8.238968859497737,4483.513057494708,8.330548262897903,4529.432381622372,8.367287787434162,4525.757045590941,9.292066025384253,4525.2880887202045,10.098918829833572,4557.310360340656,10.168173566454255,4596.908721367269,10.035834024427633,4618.290433371414,10.287644224618216,4640.040023131175,10.500447752032656
66,-99,-99,-99.0,-99.0,-99.0,-99.0,4404.48953858293,6.713743463818912,4387.924027705998,8.149182158831266,4423.095697290118,8.524956727911247,4470.025112233999,8.614903601791386,4516.170311357508,8.647804517808924,4541.688866117313,8.985553737700739,4538.939496315056,9.845204227609145,4543.760246239586,10.491476655586473,4583.265339675363,10.354144194493477,4604.230184817079,10.609035675014626,4626.234289699368,10.818867969115944
67,-99,-99,-99.0,-99.0,-99.0,-99.0,4393.030523409422,6.949535240405367,4374.573801138187,8.440035603044134,4409.7936966122015,8.82099825764331,4456.502795483334,8.909257930762585,4502.55522045916,8.939320279834712,4547.563875470118,8.907827586344709,4554.897808882029,9.529080733353185,4536.182682693882,10.70789346744548,4569.282298290621,10.683664807420092,4590.315179419846,10.93995508309042,4612.512222370502,11.146909279055645
68,-99,-99,-99.0,-99.0,-99.0,-99.0,4381.423871757171,7.1941066167911485,4361.038239213444,8.742019890473344,4396.012706380427,9.129001380492172,4442.780775251804,9.214532371101065,4488.6861058629665,9.241627310035506,4534.0344323718455,9.204473606298539,4546.399898824957,9.74481809789553,4552.189204209987,10.370425687680703,4555.179984625116,11.023599670790029,4576.279786968764,11.281733476419204,4598.528190151405,11.486031779371618
69,-99,-99,-99.0,-99.0,-99.0,-99.0,4369.4321572587505,7.448470383331987,4347.381003675967,9.055373322493727,4382.109730003798,9.448346818406431,4428.709710866926,9.531613234759929,4474.506600670978,9.555364946820735,4519.786135551945,9.513761040290035,4532.458520012025,10.062575174508169,4559.2975076558005,10.250673083900375,4541.714746400083,11.367304521659998,4562.178872925778,11.634239887118342,4584.736332825683,11.834961258096936
70,-99,-99,-99.0,-99.0,-99.0,-99.0,4357.238712115478,7.712490859378735,4333.513797358405,9.380708025017306,4367.984852824027,9.779770088223675,4414.438509039031,9.86045313034714,4460.240728440057,9.880269590771757,4505.440040946816,9.833966619657984,4518.070242713049,10.392472980768853,4545.219998633557,10.580567786473832,4554.577472079984,11.102263341169532,4548.232095918248,11.995763191005455,4570.711819080929,12.195379570669838
71,-99,-99,-99.0,-99.0,-99.0,-99.0,4344.637972112273,7.9871581720059925,4319.639217485399,9.71802490402833,4353.889647726427,10.122893614105958,4399.977589189792,10.201501738705398,4445.816316232536,10.21699574136453,4490.883097822911,10.165842812040951,4503.68060554463,10.733360379330863,4531.0349301234755,10.921738441353568,4566.356896176404,10.86383106069227,4549.454116377007,12.013346573250724,4556.917757158596,12.565464191723771
